,value_normalized
9694,[1.0]
9695,"[1.0, 1.0]"
9696,"[1.0, 1.0, 0.238095238095238]"
9697,"[1.0, 1.0, 0.238095238095238, 1.0]"
9698,"[1.0, 1.0, 0.238095238095238, 1.0, 1.0]"
9699,[1.0]
9700,"[1.0, 1.0]"
9701,"[1.0, 1.0, 0.6190476190476191]"
9702,"[1.0, 1.0, 0.6190476190476191, 0.5555555555555556]"
9703,"[1.0, 1.0, 0.6190476190476191, 0.5555555555555556, 1.0]"
9704,[0.6666666666666666]
9705,"[0.6666666666666666, 1.0]"
9706,"[0.6666666666666666, 1.0, 1.0]"
9707,"[0.6666666666666666, 1.0, 1.0, 1.0]"
9708,[0.5384615384615384]
9709,"[0.5384615384615384, 0.2]"
9710,"[0.5384615384615384, 0.2, 1.0]"
9711,"[0.5384615384615384, 0.2, 1.0, 1.0]"
9712,[1.0]
9713,"[1.0, 1.0]"
9714,"[1.0, 1.0, 1.0]"
9715,"[1.0, 1.0, 1.0, 0.7777777777777778]"
9716,[0.6923076923076923]
9717,"[0.6923076923076923, 0.1111111111111111]"
9718,"[0.6923076923076923, 0.1111111111111111, 1.0]"
9719,[1.0]
9720,"[1.0, 0.3333333333333333]"
9721,"[1.0, 0.3333333333333333, 1.0]"
9722,"[1.0, 0.3333333333333333, 1.0, 1.0]"
9723,[1.0]
9724,"[1.0, 1.0]"
9725,"[1.0, 1.0, 0.5555555555555556]"
9726,"[1.0, 1.0, 0.5555555555555556, 1.0]"
9727,"[1.0, 1.0, 0.5555555555555556, 1.0, 1.0]"
9728,[1.0]
9729,"[1.0, 0.6]"
9730,"[1.0, 0.6, 0.8461538461538461]"
9731,"[1.0, 0.6, 0.8461538461538461, 1.0]"
9732,[1.0]
9733,"[1.0, 0.6923076923076923]"
9734,"[1.0, 0.6923076923076923, 1.0]"
9735,"[1.0, 0.6923076923076923, 1.0, 1.0]"
9736,"[1.0, 0.6923076923076923, 1.0, 1.0, 0.3333333333333333]"
9737,[1.0]
9738,"[1.0, 0.2]"
9739,"[1.0, 0.2, 1.0]"
9740,"[1.0, 0.2, 1.0, 1.0]"
9741,"[1.0, 0.2, 1.0, 1.0, 0.7777777777777778]"
9742,[1.0]
9743,"[1.0, 1.0]"
9744,"[1.0, 1.0, 1.0]"
9745,"[1.0, 1.0, 1.0, 1.0]"
9746,"[1.0, 1.0, 1.0, 1.0, 0.8095238095238095]"
9747,[0.2]
9748,"[0.2, 0.7777777777777778]"
9749,"[0.2, 0.7777777777777778, 1.0]"
9750,"[0.2, 0.7777777777777778, 1.0, 1.0]"
9751,"[0.2, 0.7777777777777778, 1.0, 1.0, 1.0]"
9752,[0.7777777777777778]
9753,"[0.7777777777777778, 0.8]"
9754,"[0.7777777777777778, 0.8, 1.0]"
9755,"[0.7777777777777778, 0.8, 1.0, 1.0]"
9756,[0.1111111111111111]
9757,"[0.1111111111111111, 1.0]"
9758,"[0.1111111111111111, 1.0, 1.0]"
9759,"[0.1111111111111111, 1.0, 1.0, 1.0]"
9760,[1.0]
9761,"[1.0, 1.0]"
9762,"[1.0, 1.0, 1.0]"
9763,"[1.0, 1.0, 1.0, 1.0]"
9764,[0.3333333333333333]
9765,"[0.3333333333333333, 1.0]"
9766,"[0.3333333333333333, 1.0, 0.1111111111111111]"
9767,"[0.3333333333333333, 1.0, 0.1111111111111111, 1.0]"
9768,[1.0]
9769,"[1.0, 0.6666666666666666]"
9770,"[1.0, 0.6666666666666666, 1.0]"
9771,"[1.0, 0.6666666666666666, 1.0, 0.6923076923076923]"
9772,"[1.0, 0.6666666666666666, 1.0, 0.6923076923076923, 1.0]"
9773,[0.8]
9774,"[0.8, 1.0]"
9775,"[0.8, 1.0, 0.3333333333333333]"
9776,"[0.8, 1.0, 0.3333333333333333, 1.0]"
9777,"[0.8, 1.0, 0.3333333333333333, 1.0, 1.0]"
9778,[0.3846153846153846]
9779,"[0.3846153846153846, 1.0]"
9780,"[0.3846153846153846, 1.0, 1.0]"
9781,"[0.3846153846153846, 1.0, 1.0, 1.0]"
9782,"[0.3846153846153846, 1.0, 1.0, 1.0, 0.6666666666666666]"
9783,[0.6]
9784,"[0.6, 1.0]"
9785,"[0.6, 1.0, 0.3333333333333333]"
9786,"[0.6, 1.0, 0.3333333333333333, 1.0]"
9787,"[0.6, 1.0, 0.3333333333333333, 1.0, 1.0]"
9788,[0.5555555555555556]
9789,"[0.5555555555555556, 0.1111111111111111]"
9790,"[0.5555555555555556, 0.1111111111111111, 1.0]"
9791,"[0.5555555555555556, 0.1111111111111111, 1.0, 1.0]"
9792,"[0.5555555555555556, 0.1111111111111111, 1.0, 1.0, 0.6666666666666666]"
9793,[0.6923076923076923]
9794,"[0.6923076923076923, 0.6190476190476191]"
9795,"[0.6923076923076923, 0.6190476190476191, 1.0]"
9796,"[0.6923076923076923, 0.6190476190476191, 1.0, 1.0]"
9797,"[0.6923076923076923, 0.6190476190476191, 1.0, 1.0, 1.0]"
9798,[1.0]
9799,"[1.0, 0.4285714285714285]"
9800,"[1.0, 0.4285714285714285, 1.0]"
9801,"[1.0, 0.4285714285714285, 1.0, 0.6666666666666666]"
9802,"[1.0, 0.4285714285714285, 1.0, 0.6666666666666666, 1.0]"
9803,[0.1111111111111111]
9804,"[0.1111111111111111, 1.0]"
9805,"[0.1111111111111111, 1.0, 1.0]"
9806,"[0.1111111111111111, 1.0, 1.0, 0.6666666666666666]"
9807,[0.7777777777777778]
9808,"[0.7777777777777778, 1.0]"
9809,"[0.7777777777777778, 1.0, 0.7777777777777778]"
9810,[0.8461538461538461]
9811,"[0.8461538461538461, 1.0]"
9812,"[0.8461538461538461, 1.0, 0.6666666666666666]"
9813,"[0.8461538461538461, 1.0, 0.6666666666666666, 1.0]"
9814,[1.0]
9815,"[1.0, 0.3333333333333333]"
9816,"[1.0, 0.3333333333333333, 1.0]"
9817,"[1.0, 0.3333333333333333, 1.0, 0.5555555555555556]"
9818,"[1.0, 0.3333333333333333, 1.0, 0.5555555555555556, 1.0]"
9819,[0.8095238095238095]
9820,"[0.8095238095238095, 1.0]"
9821,"[0.8095238095238095, 1.0, 1.0]"
9822,"[0.8095238095238095, 1.0, 1.0, 1.0]"
9823,[1.0]
9824,"[1.0, 1.0]"
9825,"[1.0, 1.0, 1.0]"
9826,"[1.0, 1.0, 1.0, 0.8461538461538461]"
9827,"[1.0, 1.0, 1.0, 0.8461538461538461, 1.0]"
9828,[1.0]
9829,"[1.0, 0.2]"
9830,"[1.0, 0.2, 0.8461538461538461]"
9831,"[1.0, 0.2, 0.8461538461538461, 1.0]"
9832,"[1.0, 0.2, 0.8461538461538461, 1.0, 0.5555555555555556]"
9833,[1.0]
9834,"[1.0, 0.1111111111111111]"
9835,"[1.0, 0.1111111111111111, 1.0]"
9836,"[1.0, 0.1111111111111111, 1.0, 1.0]"
9837,[0.3333333333333333]
9838,"[0.3333333333333333, 1.0]"
9839,"[0.3333333333333333, 1.0, 1.0]"
9840,"[0.3333333333333333, 1.0, 1.0, 0.4285714285714285]"
9841,"[0.3333333333333333, 1.0, 1.0, 0.4285714285714285, 0.7777777777777778]"
9842,[1.0]
9843,"[1.0, 1.0]"
9844,"[1.0, 1.0, 1.0]"
9845,"[1.0, 1.0, 1.0, 1.0]"
9846,[1.0]
9847,"[1.0, 1.0]"
9848,"[1.0, 1.0, 0.6666666666666666]"
9849,"[1.0, 1.0, 0.6666666666666666, 1.0]"
9850,[1.0]
9851,"[1.0, 1.0]"
9852,"[1.0, 1.0, 1.0]"
9853,"[1.0, 1.0, 1.0, 1.0]"
9854,[1.0]
9855,"[1.0, 1.0]"
9856,"[1.0, 1.0, 1.0]"
9857,"[1.0, 1.0, 1.0, 0.8095238095238095]"
9858,"[1.0, 1.0, 1.0, 0.8095238095238095, 0.2]"
9859,[1.0]
9860,"[1.0, 1.0]"
9861,"[1.0, 1.0, 0.3846153846153846]"
9862,"[1.0, 1.0, 0.3846153846153846, 1.0]"
9863,[0.8095238095238095]
9864,"[0.8095238095238095, 1.0]"
9865,"[0.8095238095238095, 1.0, 0.5384615384615384]"
9866,"[0.8095238095238095, 1.0, 0.5384615384615384, 1.0]"
9867,[1.0]
9868,"[1.0, 0.3333333333333333]"
9869,"[1.0, 0.3333333333333333, 1.0]"
9870,"[1.0, 0.3333333333333333, 1.0, 0.5555555555555556]"
9871,"[1.0, 0.3333333333333333, 1.0, 0.5555555555555556, 1.0]"
9872,[0.1111111111111111]
9873,"[0.1111111111111111, 0.238095238095238]"
9874,"[0.1111111111111111, 0.238095238095238, 1.0]"
9875,"[0.1111111111111111, 0.238095238095238, 1.0, 1.0]"
9876,"[0.1111111111111111, 0.238095238095238, 1.0, 1.0, 1.0]"
9877,[1.0]
9878,"[1.0, 1.0]"
9879,"[1.0, 1.0, 0.2]"
9880,"[1.0, 1.0, 0.2, 1.0]"
9881,[0.2]
9882,"[0.2, 0.238095238095238]"
9883,"[0.2, 0.238095238095238, 0.1111111111111111]"
9884,"[0.2, 0.238095238095238, 0.1111111111111111, 1.0]"
9885,[0.6]
9886,"[0.6, 0.3333333333333333]"
9887,"[0.6, 0.3333333333333333, 1.0]"
9888,"[0.6, 0.3333333333333333, 1.0, 1.0]"
9889,"[0.6, 0.3333333333333333, 1.0, 1.0, 0.3846153846153846]"
9890,[1.0]
9891,"[1.0, 0.5384615384615384]"
9892,"[1.0, 0.5384615384615384, 1.0]"
9893,"[1.0, 0.5384615384615384, 1.0, 1.0]"
9894,[1.0]
9895,"[1.0, 0.6]"
9896,"[1.0, 0.6, 1.0]"
9897,"[1.0, 0.6, 1.0, 1.0]"
9898,"[1.0, 0.6, 1.0, 1.0, 1.0]"
9899,[1.0]
9900,"[1.0, 1.0]"
9901,"[1.0, 1.0, 1.0]"
9902,"[1.0, 1.0, 1.0, 1.0]"
9903,"[1.0, 1.0, 1.0, 1.0, 1.0]"
9904,[1.0]
9905,"[1.0, 1.0]"
9906,"[1.0, 1.0, 1.0]"
9907,"[1.0, 1.0, 1.0, 0.5555555555555556]"
9908,[1.0]
9909,"[1.0, 1.0]"
9910,"[1.0, 1.0, 1.0]"
9911,"[1.0, 1.0, 1.0, 0.6666666666666666]"
9912,[1.0]
9913,"[1.0, 0.6190476190476191]"
9914,"[1.0, 0.6190476190476191, 1.0]"
9915,"[1.0, 0.6190476190476191, 1.0, 1.0]"
9916,"[1.0, 0.6190476190476191, 1.0, 1.0, 0.2]"
9917,[0.3846153846153846]
9918,"[0.3846153846153846, 1.0]"
9919,"[0.3846153846153846, 1.0, 1.0]"
9920,"[0.3846153846153846, 1.0, 1.0, 1.0]"
9921,[0.5555555555555556]
9922,"[0.5555555555555556, 1.0]"
9923,"[0.5555555555555556, 1.0, 1.0]"
9924,"[0.5555555555555556, 1.0, 1.0, 1.0]"
9925,[0.8461538461538461]
9926,"[0.8461538461538461, 1.0]"
9927,"[0.8461538461538461, 1.0, 0.8095238095238095]"
9928,"[0.8461538461538461, 1.0, 0.8095238095238095, 1.0]"
9929,[0.6666666666666666]
9930,"[0.6666666666666666, 1.0]"
9931,"[0.6666666666666666, 1.0, 0.3333333333333333]"
9932,"[0.6666666666666666, 1.0, 0.3333333333333333, 1.0]"
9933,[0.7777777777777778]
9934,"[0.7777777777777778, 0.8]"
9935,"[0.7777777777777778, 0.8, 1.0]"
9936,"[0.7777777777777778, 0.8, 1.0, 1.0]"
9937,"[0.7777777777777778, 0.8, 1.0, 1.0, 1.0]"
9938,[0.7777777777777778]
9939,"[0.7777777777777778, 0.3846153846153846]"
9940,"[0.7777777777777778, 0.3846153846153846, 1.0]"
9941,"[0.7777777777777778, 0.3846153846153846, 1.0, 0.4285714285714285]"
9942,[0.7777777777777778]
9943,"[0.7777777777777778, 0.6190476190476191]"
9944,"[0.7777777777777778, 0.6190476190476191, 0.6666666666666666]"
9945,"[0.7777777777777778, 0.6190476190476191, 0.6666666666666666, 1.0]"
9946,"[0.7777777777777778, 0.6190476190476191, 0.6666666666666666, 1.0, 1.0]"
9947,[1.0]
9948,"[1.0, 0.1111111111111111]"
9949,"[1.0, 0.1111111111111111, 0.6923076923076923]"
9950,"[1.0, 0.1111111111111111, 0.6923076923076923, 0.3333333333333333]"
9951,"[1.0, 0.1111111111111111, 0.6923076923076923, 0.3333333333333333, 1.0]"
9952,[0.3333333333333333]
9953,"[0.3333333333333333, 1.0]"
9954,"[0.3333333333333333, 1.0, 1.0]"
9955,"[0.3333333333333333, 1.0, 1.0, 0.3333333333333333]"
9956,"[0.3333333333333333, 1.0, 1.0, 0.3333333333333333, 0.5555555555555556]"
9957,[0.3846153846153846]
9958,"[0.3846153846153846, 1.0]"
9959,"[0.3846153846153846, 1.0, 1.0]"
9960,"[0.3846153846153846, 1.0, 1.0, 1.0]"
9961,[1.0]
9962,"[1.0, 1.0]"
9963,"[1.0, 1.0, 1.0]"
9964,"[1.0, 1.0, 1.0, 1.0]"
9965,[0.8]
9966,"[0.8, 0.1111111111111111]"
9967,"[0.8, 0.1111111111111111, 0.5384615384615384]"
9968,"[0.8, 0.1111111111111111, 0.5384615384615384, 0.3333333333333333]"
9969,[1.0]
9970,"[1.0, 0.6923076923076923]"
9971,"[1.0, 0.6923076923076923, 1.0]"
9972,"[1.0, 0.6923076923076923, 1.0, 0.3333333333333333]"
9973,[0.7777777777777778]
9974,"[0.7777777777777778, 1.0]"
9975,"[0.7777777777777778, 1.0, 0.4285714285714285]"
9976,"[0.7777777777777778, 1.0, 0.4285714285714285, 0.8]"
9977,"[0.7777777777777778, 1.0, 0.4285714285714285, 0.8, 1.0]"
9978,[1.0]
9979,"[1.0, 1.0]"
9980,"[1.0, 1.0, 0.6190476190476191]"
9981,"[1.0, 1.0, 0.6190476190476191, 1.0]"
9982,"[1.0, 1.0, 0.6190476190476191, 1.0, 1.0]"
9983,[0.7777777777777778]
9984,"[0.7777777777777778, 1.0]"
9985,"[0.7777777777777778, 1.0, 1.0]"
9986,"[0.7777777777777778, 1.0, 1.0, 1.0]"
9987,[1.0]
9988,"[1.0, 0.3333333333333333]"
9989,"[1.0, 0.3333333333333333, 1.0]"
9990,"[1.0, 0.3333333333333333, 1.0, 1.0]"
9991,[1.0]
9992,"[1.0, 0.4285714285714285]"
9993,"[1.0, 0.4285714285714285, 1.0]"
9994,"[1.0, 0.4285714285714285, 1.0, 1.0]"
9995,"[1.0, 0.4285714285714285, 1.0, 1.0, 1.0]"
9996,[1.0]
9997,"[1.0, 1.0]"
9998,"[1.0, 1.0, 1.0]"
9999,"[1.0, 1.0, 1.0, 0.6190476190476191]"
10000,"[1.0, 1.0, 1.0, 0.6190476190476191, 1.0]"
10001,[1.0]
10002,"[1.0, 0.3333333333333333]"
10003,"[1.0, 0.3333333333333333, 0.2]"
10004,"[1.0, 0.3333333333333333, 0.2, 1.0]"
10005,"[1.0, 0.3333333333333333, 0.2, 1.0, 1.0]"
10006,[1.0]
10007,"[1.0, 1.0]"
10008,"[1.0, 1.0, 1.0]"
10009,[0.3333333333333333]
10010,"[0.3333333333333333, 1.0]"
10011,"[0.3333333333333333, 1.0, 0.6]"
10012,"[0.3333333333333333, 1.0, 0.6, 1.0]"
10013,[1.0]
10014,"[1.0, 1.0]"
10015,"[1.0, 1.0, 0.3333333333333333]"
10016,"[1.0, 1.0, 0.3333333333333333, 0.3333333333333333]"
10017,[0.4285714285714285]
10018,"[0.4285714285714285, 1.0]"
10019,"[0.4285714285714285, 1.0, 1.0]"
10020,"[0.4285714285714285, 1.0, 1.0, 1.0]"
10021,"[0.4285714285714285, 1.0, 1.0, 1.0, 0.6923076923076923]"
10022,[1.0]
10023,"[1.0, 1.0]"
10024,"[1.0, 1.0, 1.0]"
10025,"[1.0, 1.0, 1.0, 1.0]"
10026,"[1.0, 1.0, 1.0, 1.0, 0.5555555555555556]"
10027,[1.0]
10028,"[1.0, 0.3333333333333333]"
10029,"[1.0, 0.3333333333333333, 1.0]"
10030,"[1.0, 0.3333333333333333, 1.0, 1.0]"
10031,"[1.0, 0.3333333333333333, 1.0, 1.0, 0.3333333333333333]"
10032,[1.0]
10033,"[1.0, 1.0]"
10034,"[1.0, 1.0, 0.3333333333333333]"
10035,"[1.0, 1.0, 0.3333333333333333, 1.0]"
10036,"[1.0, 1.0, 0.3333333333333333, 1.0, 1.0]"
10037,[1.0]
10038,"[1.0, 1.0]"
10039,"[1.0, 1.0, 0.2]"
10040,"[1.0, 1.0, 0.2, 1.0]"
10041,[0.1111111111111111]
10042,"[0.1111111111111111, 1.0]"
10043,"[0.1111111111111111, 1.0, 1.0]"
10044,"[0.1111111111111111, 1.0, 1.0, 0.2]"
10045,"[0.1111111111111111, 1.0, 1.0, 0.2, 1.0]"
10046,[0.3333333333333333]
10047,"[0.3333333333333333, 0.8]"
10048,"[0.3333333333333333, 0.8, 0.3846153846153846]"
10049,"[0.3333333333333333, 0.8, 0.3846153846153846, 1.0]"
10050,"[0.3333333333333333, 0.8, 0.3846153846153846, 1.0, 1.0]"
10051,[1.0]
10052,"[1.0, 0.6666666666666666]"
10053,"[1.0, 0.6666666666666666, 0.3846153846153846]"
10054,"[1.0, 0.6666666666666666, 0.3846153846153846, 1.0]"
10055,[0.3333333333333333]
10056,"[0.3333333333333333, 1.0]"
10057,"[0.3333333333333333, 1.0, 1.0]"
10058,"[0.3333333333333333, 1.0, 1.0, 1.0]"
10059,"[0.3333333333333333, 1.0, 1.0, 1.0, 1.0]"
10060,[1.0]
10061,"[1.0, 0.5555555555555556]"
10062,"[1.0, 0.5555555555555556, 1.0]"
10063,"[1.0, 0.5555555555555556, 1.0, 1.0]"
10064,"[1.0, 0.5555555555555556, 1.0, 1.0, 1.0]"
10065,[1.0]
10066,"[1.0, 1.0]"
10067,"[1.0, 1.0, 0.3333333333333333]"
10068,"[1.0, 1.0, 0.3333333333333333, 0.7777777777777778]"
10069,"[1.0, 1.0, 0.3333333333333333, 0.7777777777777778, 0.8095238095238095]"
10070,[1.0]
10071,"[1.0, 1.0]"
10072,"[1.0, 1.0, 1.0]"
10073,"[1.0, 1.0, 1.0, 0.7777777777777778]"
10074,"[1.0, 1.0, 1.0, 0.7777777777777778, 0.3333333333333333]"
10075,[1.0]
10076,"[1.0, 1.0]"
10077,"[1.0, 1.0, 1.0]"
10078,[0.3333333333333333]
10079,"[0.3333333333333333, 1.0]"
10080,"[0.3333333333333333, 1.0, 1.0]"
10081,[1.0]
10082,"[1.0, 0.5555555555555556]"
10083,"[1.0, 0.5555555555555556, 0.4285714285714285]"
10084,"[1.0, 0.5555555555555556, 0.4285714285714285, 1.0]"
10085,[0.7777777777777778]
10086,"[0.7777777777777778, 1.0]"
10087,"[0.7777777777777778, 1.0, 1.0]"
10088,"[0.7777777777777778, 1.0, 1.0, 0.5555555555555556]"
10089,"[0.7777777777777778, 1.0, 1.0, 0.5555555555555556, 1.0]"
10090,[1.0]
10091,"[1.0, 1.0]"
10092,"[1.0, 1.0, 1.0]"
10093,"[1.0, 1.0, 1.0, 1.0]"
10094,[1.0]
10095,"[1.0, 0.1111111111111111]"
10096,"[1.0, 0.1111111111111111, 1.0]"
10097,"[1.0, 0.1111111111111111, 1.0, 1.0]"
10098,[0.3846153846153846]
10099,"[0.3846153846153846, 1.0]"
10100,"[0.3846153846153846, 1.0, 0.5555555555555556]"
10101,[1.0]
10102,"[1.0, 1.0]"
10103,"[1.0, 1.0, 1.0]"
10104,"[1.0, 1.0, 1.0, 0.7777777777777778]"
10105,"[1.0, 1.0, 1.0, 0.7777777777777778, 1.0]"
10106,[1.0]
10107,"[1.0, 1.0]"
10108,"[1.0, 1.0, 1.0]"
10109,"[1.0, 1.0, 1.0, 0.5555555555555556]"
10110,[1.0]
10111,"[1.0, 1.0]"
10112,"[1.0, 1.0, 1.0]"
10113,"[1.0, 1.0, 1.0, 0.5555555555555556]"
10114,"[1.0, 1.0, 1.0, 0.5555555555555556, 0.6]"
10115,[0.6]
10116,"[0.6, 1.0]"
10117,"[0.6, 1.0, 0.7777777777777778]"
10118,"[0.6, 1.0, 0.7777777777777778, 1.0]"
10119,[0.3333333333333333]
10120,"[0.3333333333333333, 1.0]"
10121,"[0.3333333333333333, 1.0, 1.0]"
10122,"[0.3333333333333333, 1.0, 1.0, 0.3333333333333333]"
10123,[1.0]
10124,"[1.0, 1.0]"
10125,"[1.0, 1.0, 0.2]"
10126,"[1.0, 1.0, 0.2, 1.0]"
10127,[1.0]
10128,"[1.0, 0.3333333333333333]"
10129,"[1.0, 0.3333333333333333, 0.8461538461538461]"
10130,"[1.0, 0.3333333333333333, 0.8461538461538461, 0.3333333333333333]"
10131,[1.0]
10132,"[1.0, 0.5555555555555556]"
10133,"[1.0, 0.5555555555555556, 1.0]"
10134,"[1.0, 0.5555555555555556, 1.0, 1.0]"
10135,[0.3333333333333333]
10136,"[0.3333333333333333, 1.0]"
10137,"[0.3333333333333333, 1.0, 0.8095238095238095]"
10138,"[0.3333333333333333, 1.0, 0.8095238095238095, 1.0]"
10139,"[0.3333333333333333, 1.0, 0.8095238095238095, 1.0, 0.5555555555555556]"
10140,[1.0]
10141,"[1.0, 0.5555555555555556]"
10142,"[1.0, 0.5555555555555556, 1.0]"
10143,"[1.0, 0.5555555555555556, 1.0, 1.0]"
10144,"[1.0, 0.5555555555555556, 1.0, 1.0, 1.0]"
10145,[1.0]
10146,"[1.0, 1.0]"
10147,"[1.0, 1.0, 0.3846153846153846]"
10148,[1.0]
10149,"[1.0, 0.4285714285714285]"
10150,"[1.0, 0.4285714285714285, 1.0]"
10151,[1.0]
10152,"[1.0, 0.6666666666666666]"
10153,"[1.0, 0.6666666666666666, 1.0]"
10154,[1.0]
10155,"[1.0, 0.1111111111111111]"
10156,"[1.0, 0.1111111111111111, 1.0]"
10157,"[1.0, 0.1111111111111111, 1.0, 1.0]"
10158,"[1.0, 0.1111111111111111, 1.0, 1.0, 1.0]"
10159,[1.0]
10160,"[1.0, 1.0]"
10161,"[1.0, 1.0, 0.3846153846153846]"
10162,"[1.0, 1.0, 0.3846153846153846, 0.7777777777777778]"
10163,[0.8]
10164,"[0.8, 1.0]"
10165,"[0.8, 1.0, 1.0]"
10166,"[0.8, 1.0, 1.0, 1.0]"
10167,"[0.8, 1.0, 1.0, 1.0, 0.3333333333333333]"
10168,[0.6666666666666666]
10169,"[0.6666666666666666, 1.0]"
10170,"[0.6666666666666666, 1.0, 1.0]"
10171,"[0.6666666666666666, 1.0, 1.0, 0.6190476190476191]"
10172,[0.2]
10173,"[0.2, 1.0]"
10174,"[0.2, 1.0, 1.0]"
10175,"[0.2, 1.0, 1.0, 0.7777777777777778]"
10176,"[0.2, 1.0, 1.0, 0.7777777777777778, 1.0]"
10177,[1.0]
10178,"[1.0, 1.0]"
10179,"[1.0, 1.0, 1.0]"
10180,"[1.0, 1.0, 1.0, 1.0]"
10181,[0.3846153846153846]
10182,"[0.3846153846153846, 1.0]"
10183,"[0.3846153846153846, 1.0, 0.6190476190476191]"
10184,"[0.3846153846153846, 1.0, 0.6190476190476191, 1.0]"
10185,[1.0]
10186,"[1.0, 0.3846153846153846]"
10187,"[1.0, 0.3846153846153846, 1.0]"
10188,"[1.0, 0.3846153846153846, 1.0, 1.0]"
10189,"[1.0, 0.3846153846153846, 1.0, 1.0, 1.0]"
10190,[1.0]
10191,"[1.0, 0.3333333333333333]"
10192,"[1.0, 0.3333333333333333, 1.0]"
10193,"[1.0, 0.3333333333333333, 1.0, 0.8461538461538461]"
10194,[0.2]
10195,"[0.2, 0.1111111111111111]"
10196,"[0.2, 0.1111111111111111, 0.1111111111111111]"
10197,"[0.2, 0.1111111111111111, 0.1111111111111111, 1.0]"
10198,"[0.2, 0.1111111111111111, 0.1111111111111111, 1.0, 1.0]"
10199,[1.0]
10200,"[1.0, 0.4285714285714285]"
10201,"[1.0, 0.4285714285714285, 1.0]"
10202,"[1.0, 0.4285714285714285, 1.0, 0.7777777777777778]"
10203,"[1.0, 0.4285714285714285, 1.0, 0.7777777777777778, 0.6666666666666666]"
10204,[0.1111111111111111]
10205,"[0.1111111111111111, 1.0]"
10206,"[0.1111111111111111, 1.0, 0.3333333333333333]"
10207,"[0.1111111111111111, 1.0, 0.3333333333333333, 1.0]"
10208,[0.4285714285714285]
10209,"[0.4285714285714285, 1.0]"
10210,"[0.4285714285714285, 1.0, 1.0]"
10211,"[0.4285714285714285, 1.0, 1.0, 1.0]"
10212,"[0.4285714285714285, 1.0, 1.0, 1.0, 1.0]"
10213,[1.0]
10214,"[1.0, 1.0]"
10215,"[1.0, 1.0, 0.6666666666666666]"
10216,"[1.0, 1.0, 0.6666666666666666, 0.5555555555555556]"
10217,"[1.0, 1.0, 0.6666666666666666, 0.5555555555555556, 0.6923076923076923]"
10218,[1.0]
10219,"[1.0, 1.0]"
10220,"[1.0, 1.0, 0.6190476190476191]"
10221,"[1.0, 1.0, 0.6190476190476191, 1.0]"
10222,"[1.0, 1.0, 0.6190476190476191, 1.0, 0.3333333333333333]"
10223,[1.0]
10224,"[1.0, 1.0]"
10225,"[1.0, 1.0, 1.0]"
10226,"[1.0, 1.0, 1.0, 0.6923076923076923]"
10227,[1.0]
10228,"[1.0, 1.0]"
10229,"[1.0, 1.0, 1.0]"
10230,"[1.0, 1.0, 1.0, 1.0]"
10231,"[1.0, 1.0, 1.0, 1.0, 0.6666666666666666]"
10232,[0.4285714285714285]
10233,"[0.4285714285714285, 1.0]"
10234,"[0.4285714285714285, 1.0, 1.0]"
10235,"[0.4285714285714285, 1.0, 1.0, 1.0]"
10236,[1.0]
10237,"[1.0, 0.1111111111111111]"
10238,"[1.0, 0.1111111111111111, 0.8461538461538461]"
10239,"[1.0, 0.1111111111111111, 0.8461538461538461, 0.4285714285714285]"
10240,[0.1111111111111111]
10241,"[0.1111111111111111, 1.0]"
10242,"[0.1111111111111111, 1.0, 1.0]"
10243,"[0.1111111111111111, 1.0, 1.0, 0.3333333333333333]"
10244,"[0.1111111111111111, 1.0, 1.0, 0.3333333333333333, 1.0]"
10245,[1.0]
10246,"[1.0, 1.0]"
10247,"[1.0, 1.0, 0.6666666666666666]"
10248,"[1.0, 1.0, 0.6666666666666666, 0.8461538461538461]"
10249,[0.7777777777777778]
10250,"[0.7777777777777778, 1.0]"
10251,"[0.7777777777777778, 1.0, 1.0]"
10252,"[0.7777777777777778, 1.0, 1.0, 1.0]"
10253,"[0.7777777777777778, 1.0, 1.0, 1.0, 1.0]"
10254,[1.0]
10255,"[1.0, 1.0]"
10256,"[1.0, 1.0, 1.0]"
10257,"[1.0, 1.0, 1.0, 0.3333333333333333]"
10258,[1.0]
10259,"[1.0, 1.0]"
10260,"[1.0, 1.0, 1.0]"
10261,"[1.0, 1.0, 1.0, 1.0]"
10262,"[1.0, 1.0, 1.0, 1.0, 0.8461538461538461]"
10263,[0.8461538461538461]
10264,"[0.8461538461538461, 0.5555555555555556]"
10265,"[0.8461538461538461, 0.5555555555555556, 1.0]"
10266,"[0.8461538461538461, 0.5555555555555556, 1.0, 1.0]"
10267,"[0.8461538461538461, 0.5555555555555556, 1.0, 1.0, 0.6666666666666666]"
10268,[1.0]
10269,"[1.0, 0.5555555555555556]"
10270,"[1.0, 0.5555555555555556, 0.3846153846153846]"
10271,"[1.0, 0.5555555555555556, 0.3846153846153846, 0.4285714285714285]"
10272,[1.0]
10273,"[1.0, 1.0]"
10274,"[1.0, 1.0, 0.3333333333333333]"
10275,"[1.0, 1.0, 0.3333333333333333, 0.3333333333333333]"
10276,[0.7777777777777778]
10277,"[0.7777777777777778, 1.0]"
10278,"[0.7777777777777778, 1.0, 1.0]"
10279,"[0.7777777777777778, 1.0, 1.0, 1.0]"
10280,"[0.7777777777777778, 1.0, 1.0, 1.0, 1.0]"
10281,[0.8095238095238095]
10282,"[0.8095238095238095, 0.5555555555555556]"
